Age, Income
Data from February 2014 Current Population Survey
Retrieved from thedataweb.rm.census.gov/ftp/cps_ftp.html
76, $94600
65, $89600
78, $104100
58, $2800
25, $50500
48, $145300
59, $97600
82, $40200
52, $45300
27, $11300
37, $82200
36, $80600
81, $59900
43, $71700
62, $27200
63, $77000
79, $15500
67, $25900
23, $13900
76, $14200
39, $37900
26, $32800
67, $33200
36, $55000
81, $36300
48, $145000
43, $35200
41, $12400
71, $31200
76, $84500
36, $17800
36, $61700
67, $6200
69, $10500
52, $14000
61, $45900
56, $300
87, $11500
25, $15900
66, $29600
55, $73900
36, $61100
71, $58400
25, $4200
58, $103800
62, $732800
59, $15400
28, $56500
35, $33500
67, $20700
69, $129300
52, $140900
68, $96500
66, $9100
75, $11600
45, $1900
44, $80100
52, $83600
50, $24400
89, $57700
36, $31000
79, $10300
80, $17300
52, $23400
64, -$2600
61, $789100
79, $13400
23, $14500
55, $5900
29, $34100
58, $7500
21, -$1900
65, $30300
34, $35700
59, $142700
60, $28800
83, $42900
26, $24200
48, -$1400
31, $19200
68, $101600
29, $30900
57, $9100
51, $92300
47, $40700
75, $53300
44, $47600
46, $33300
46, $22400
32, $1300
23, -$1200
29, $44800
30, $51600
77, $11800
74, $69600
49, $73000
46, $22400
84, $19700
77, $9700
56, $87300
30, $75800
45, $45700
30, $80300
59, $23800
45, $25100
28, $29000
23, $33800
74, $28400
55, $46800
80, $36900
37, $23000
49, $77100
31, $10800
25, $1700
78, $13600
28, $52300
38, $10700
62, $31100
35, $50200
72, $27300
63, $94000
37, $58100
73, $12300
48, $23800
64, $14600
65, $147600
59, $58100
38, $101300
67, $28900
30, $91000
59, $31900
62, $101600
40, $22800
59, $74100
44, $44900
35, $82700
58, -$1900
74, $24500
39, $27900
54, $70200
75, $31000
25, $48800
67, $12600
52, $406900
68, $41400
75, $20800
44, $15400
59, $29500
65, $30500
52, $23900
24, $25300
58, $56300
58, $42400
71, $104100
37, $65700
29, $41700
65, $118200
30, $135300
59, $21100
44, $123100
66, $88300
59, $34100
57, $133600
81, $11600
54, $36000
51, $982300
20, $21600
35, $34200
30, $108200
21, $44900
49, $47500
52, $496900
60, $48300
61, $53300
52, $145400
41, $115800
51, $61100
22, $65100
58, $35500
80, $14000
64, $46400
25, $99500
31, $29200
23, $72600
54, $69900
60, $47700
37, $9800
61, $25500
40, $76900
27, $105600
56, $66300
58, $4400
40, $90700
47, $90700
49, $58400
41, $928700
21, $7500
54, $106600
33, $79300
80, $12400
55, $27600
48, $95600
41, $126000
67, $8700
54, $99100
53, $669100
74, $33000
65, $128300
57, $133000
35, $40300
63, $49200
49, $12900
67, $12700
64, $104200
44, $27800
61, $98200
28, $60500
41, $74300
27, $26100
61, $42700
48, $93300
89, $118700
58, $21100
59, $141500
50, $35200
21, $65100
54, $31900
52, $57000
66, $19400
27, $3900
36, $4100
38, $109400
24, $5800
37, $24400
54, $20100
23, $53400
62, $71800
52, $133500
87, $52000
52, $70900
39, $19900
76, $11500
71, $85500
35, $87500
52, $54800
63, $42300
26, $31300
48, $37400
76, $13600
52, $42000
49, $60400
62, $129600
61, $95100
66, $11800
34, $15800
85, $12300
21, $56600
74, $35300
36, $118200
48, $393200
67, $87700
53, $56100
49, $52200
41, $128600
44, $93100
59, $41300
58, $103600
37, $133100
57, $98200
56, $11100
78, $23300
19, $29800
35, $15900
40, $38200
32, $66700
51, $110900
69, $5900
37, $98400
50, $55900
58, $96900
40, $78100
62, $5400
62, $34300
52, $71900
56, $48800
47, $34000
59, $28700
39, $73900
60, $98500
89, $17000
36, $30100
44, $24800
38, $55500
70, $36600
53, $16600
70, $23200
38, $66600
65, $704600
68, $663300
60, $25000
