State, Household Size
Data from February 2014 Current Population Survey
Retrieved from thedataweb.rm.census.gov/ftp/cps_ftp.html
AL, 1
AL, 1
AL, 2
AL, 1
AL, 1
AL, 4
AL, 2
AL, 1
AL, 2
AL, 3
AL, 4
AL, 5
AL, 2
AL, 5
AL, 2
AL, 1
AL, 2
AL, 7
AL, 2
AL, 2
AL, 1
AL, 1
AL, 2
AL, 3
AL, 2
AL, 4
AL, 1
AL, 2
AL, 2
AL, 2
AL, 2
AL, 2
AL, 2
AL, 1
AL, 1
AL, 1
AL, 1
AL, 1
AL, 1
AL, 1
AL, 1
AL, 1
AL, 1
AL, 1
AL, 4
AL, 2
AL, 4
AL, 4
AL, 3
AL, 1
AL, 2
AL, 4
AL, 1
AL, 1
AL, 1
AL, 1
AL, 3
AL, 3
AL, 1
AL, 2
AL, 1
AL, 2
AL, 6
AL, 1
AL, 1
AL, 3
AL, 1
AL, 1
AL, 1
AL, 1
AL, 1
AL, 3
AL, 2
AL, 2
AL, 1
AL, 1
AL, 2
AL, 1
AL, 1
AL, 2
AL, 2
AL, 3
AL, 1
AL, 1
AL, 1
AL, 2
AL, 4
AL, 4
AL, 1
AL, 1
AL, 3
AL, 1
AL, 1
AL, 1
AL, 1
AL, 1
AL, 3
AL, 2
AL, 1
AL, 2
AL, 5
AL, 3
AL, 2
AL, 1
AL, 3
AL, 1
AL, 5
AL, 2
AL, 1
AL, 1
AL, 1
AL, 1
AL, 4
AL, 3
AL, 1
AL, 1
AL, 3
AL, 3
AL, 4
AL, 2
AL, 3
AL, 4
AL, 1
AL, 2
AL, 2
AL, 2
AL, 3
AL, 3
AL, 2
AL, 4
AL, 2
AL, 2
AL, 1
AL, 1
AL, 3
AL, 3
AL, 1
AL, 2
AL, 1
AL, 3
AL, 2
AL, 3
AL, 2
AL, 2
AL, 2
AL, 2
AL, 4
AL, 3
AL, 1
AL, 2
AL, 1
AL, 2
AL, 2
AL, 1
AL, 4
AL, 3
AL, 2
AL, 2
AL, 2
AL, 5
AL, 2
AL, 1
AL, 2
AL, 1
AL, 1
AL, 1
AL, 2
AL, 1
AL, 3
AL, 3
AL, 2
AL, 2
AL, 3
AL, 1
AL, 3
AL, 3
AL, 1
AL, 5
AL, 3
AL, 2
AL, 5
AL, 3
AL, 1
AL, 1
AL, 3
AL, 2
AL, 3
AL, 2
AL, 3
AL, 3
AL, 2
AL, 4
AL, 6
AL, 3
AL, 3
AL, 5
AL, 5
AL, 3
AL, 2
AL, 1
AL, 1
AL, 3
AL, 5
AL, 1
AL, 3
AL, 4
AL, 2
AL, 6
AL, 3
AL, 1
AL, 1
AL, 1
AL, 1
AL, 2
AL, 2
AL, 2
AL, 2
AL, 5
AL, 7
AL, 5
AL, 4
AL, 1
AL, 2
AL, 3
AL, 4
AL, 5
AL, 2
AL, 1
AL, 2
AL, 3
AL, 1
AL, 4
AL, 4
AL, 4
AL, 2
AL, 2
AL, 3
AL, 2
AL, 2
AL, 3
AL, 3
AL, 1
AL, 2
AL, 3
AL, 3
AL, 1
AL, 1
AL, 2
AL, 1
AL, 2
AL, 7
AL, 1
AL, 3
AL, 2
AL, 5
AL, 1
AL, 1
AL, 2
AL, 4
AL, 2
AL, 2
AL, 3
AL, 1
AL, 6
AL, 2
AL, 2
AL, 3
AL, 5
AL, 3
AL, 1
AL, 1
AL, 3
AL, 4
AL, 1
AL, 3
AL, 2
AL, 1
AL, 4
AL, 2
AL, 1
AL, 2
AL, 1
AL, 2
AL, 5
AL, 1
AL, 4
AL, 2
AL, 8
AL, 2
AL, 1
AL, 4
AL, 1
AL, 1
AL, 2
AL, 1
AL, 2
AL, 4
AL, 2
AL, 2
AL, 2
AL, 2
